date,market,commodity,unit,pricetype,currency,price
2012-11-15,Nairobi,Maize,KG,Wholesale,KES,37.86
2012-11-15,Kisumu,Maize,KG,Wholesale,KES,32.19
2012-11-15,Kisumu,Beans,KG,Wholesale,KES,53.24
2012-12-15,Nairobi,Maize,KG,Wholesale,KES,33.95
2012-12-15,Nairobi,Beans,KG,Wholesale,KES,58.58
2012-12-15,Kisumu,Maize,KG,Wholesale,KES,32.22
2013-01-15,Nairobi,Beans,KG,Wholesale,KES,61.84
2013-01-15,Kisumu,Maize,KG,Wholesale,KES,32.24
2013-02-15,Nairobi,Maize,KG,Wholesale,KES,30.97
2013-02-15,Nairobi,Beans,KG,Wholesale,KES,60.83
2013-02-15,Kisumu,Maize,KG,Wholesale,KES,30.97
2013-02-15,Kisumu,Beans,KG,Wholesale,KES,74.93
2013-03-15,Nairobi,Maize,KG,Wholesale,KES,31.55
2013-03-15,Nairobi,Beans,KG,Wholesale,KES,72.52
2013-03-15,Kisumu,Maize,KG,Wholesale,KES,33.47
2013-03-15,Kisumu,Beans,KG,Wholesale,KES,77.16
2013-04-15,Nairobi,Beans,KG,Wholesale,KES,69.78
2013-04-15,Kisumu,Maize,KG,Wholesale,KES,34.52
2013-04-15,Kisumu,Beans,KG,Wholesale,KES,79.87
2013-05-15,Kisumu,Maize,KG,Wholesale,KES,32.69
2013-05-15,Kisumu,Beans,KG,Wholesale,KES,80.52
2013-06-15,Kisumu,Maize,KG,Wholesale,KES,31.86
2013-07-15,Nairobi,Beans,KG,Wholesale,KES,58.79
2013-07-15,Kisumu,Maize,KG,Wholesale,KES,31.14
2013-08-15,Nairobi,Maize,KG,Wholesale,KES,29.31
2013-08-15,Kisumu,Maize,KG,Wholesale,KES,31.03
2013-09-15,Nairobi,Beans,KG,Wholesale,KES,72.53
2013-09-15,Kisumu,Maize,KG,Wholesale,KES,33.11
2013-10-15,Nairobi,Maize,KG,Wholesale,KES,33.7
2013-10-15,Nairobi,Beans,KG,Wholesale,KES,71.22
2013-10-15,Kisumu,Maize,KG,Wholesale,KES,34.98
2013-10-15,Kisumu,Beans,KG,Wholesale,KES,84.95
2013-11-15,Nairobi,Maize,KG,Wholesale,KES,34.18
2013-11-15,Kisumu,Maize,KG,Wholesale,KES,35.18
2013-12-15,Nairobi,Maize,KG,Wholesale,KES,34.05
2013-12-15,Kisumu,Maize,KG,Wholesale,KES,35.06
2014-01-15,Nairobi,Maize,KG,Wholesale,KES,32.7
2014-01-15,Nairobi,Beans,KG,Wholesale,KES,65.32
2014-01-15,Kisumu,Maize,KG,Wholesale,KES,35.07
2014-02-15,Nairobi,Maize,KG,Wholesale,KES,33.05
2014-02-15,Kisumu,Maize,KG,Wholesale,KES,35.06
2014-03-15,Nairobi,Maize,KG,Wholesale,KES,33.0
2014-03-15,Kisumu,Maize,KG,Wholesale,KES,35.0
2014-03-15,Kisumu,Beans,KG,Wholesale,KES,84.76
2014-04-15,Nairobi,Maize,KG,Wholesale,KES,33.04
2014-04-15,Nairobi,Beans,KG,Wholesale,KES,67.07
2014-04-15,Kisumu,Maize,KG,Wholesale,KES,35.1
2014-04-15,Kisumu,Beans,KG,Wholesale,KES,85.2
2014-05-15,Nairobi,Beans,KG,Wholesale,KES,68.89
2014-05-15,Kisumu,Maize,KG,Wholesale,KES,35.09
2014-05-15,Kisumu,Beans,KG,Wholesale,KES,84.88
2014-06-15,Nairobi,Beans,KG,Wholesale,KES,66.84
2014-06-15,Kisumu,Maize,KG,Wholesale,KES,37.89
2014-07-15,Kisumu,Maize,KG,Wholesale,KES,40.01
2014-08-15,Nairobi,Maize,KG,Wholesale,KES,25.94
2014-08-15,Nairobi,Beans,KG,Wholesale,KES,52.14
2014-08-15,Kisumu,Maize,KG,Wholesale,KES,40.04
2014-09-15,Nairobi,Maize,KG,Wholesale,KES,29.29
2014-09-15,Nairobi,Beans,KG,Wholesale,KES,55.19
2014-09-15,Kisumu,Maize,KG,Wholesale,KES,40.09
2014-09-15,Kisumu,Beans,KG,Wholesale,KES,90.2
2014-10-15,Nairobi,Maize,KG,Wholesale,KES,26.12
2014-10-15,Nairobi,Beans,KG,Wholesale,KES,55.07
2014-10-15,Kisumu,Maize,KG,Wholesale,KES,38.11
2014-11-15,Nairobi,Maize,KG,Wholesale,KES,25.57
2014-11-15,Kisumu,Maize,KG,Wholesale,KES,35.45
2014-11-15,Kisumu,Beans,KG,Wholesale,KES,75.97
2014-12-15,Nairobi,Maize,KG,Wholesale,KES,26.39
2014-12-15,Nairobi,Beans,KG,Wholesale,KES,53.31
2014-12-15,Kisumu,Maize,KG,Wholesale,KES,30.75
2014-12-15,Kisumu,Beans,KG,Wholesale,KES,76.04
2015-01-15,Nairobi,Beans,KG,Wholesale,KES,58.26
2015-01-15,Kisumu,Maize,KG,Wholesale,KES,30.12
2015-01-15,Kisumu,Beans,KG,Wholesale,KES,75.31
2015-02-15,Nairobi,Beans,KG,Wholesale,KES,63.88
2015-02-15,Kisumu,Maize,KG,Wholesale,KES,30.24
2015-02-15,Kisumu,Beans,KG,Wholesale,KES,75.58
2015-03-15,Nairobi,Maize,KG,Wholesale,KES,25.57
2015-03-15,Nairobi,Beans,KG,Wholesale,KES,72.9
2015-03-15,Kisumu,Maize,KG,Wholesale,KES,30.22
2015-04-15,Nairobi,Maize,KG,Wholesale,KES,32.77
2015-04-15,Nairobi,Beans,KG,Wholesale,KES,80.5
2015-04-15,Kisumu,Maize,KG,Wholesale,KES,36.11
2015-05-15,Nairobi,Maize,KG,Wholesale,KES,35.4
2015-05-15,Nairobi,Beans,KG,Wholesale,KES,89.18
2015-05-15,Kisumu,Maize,KG,Wholesale,KES,35.47
